district_cd,district,industry_cd,industry_nm,year,biz_count,emp_count,region,item_category
001007,안산시,008,Wholesale and retail trade,2022,17747,39540,경기도,사무용품/소모품
001007,안산시,009,Transportation,2022,9489,15291,경기도,차량/운송
001007,안산시,010,Accommodation and food service activities,2022,10593,25355,경기도,
001007,안산시,011,Information and communications,2022,999,2626,경기도,IT장비/전산
001007,안산시,012,Financial and insurance activities,2022,589,7217,경기도,
001007,안산시,013,Real estate activites and renting and leasing,2022,3526,8034,경기도,
001007,안산시,014,Professional scientific and technical activities,2022,2593,11124,경기도,전문용역/컨설팅
001007,안산시,015,Business facilities managementand business support services,2022,2073,14188,경기도,시설유지보수
001007,안산시,016,Public administration ; compulsory social security,2022,96,6636,경기도,
001007,안산시,017,Education,2022,2534,18199,경기도,교육물품/교구
001007,안산시,018,Human health and social work activities,2022,1878,29084,경기도,의료/복지용품
001007,안산시,019,Arts sports and recreation related services,2022,2097,4907,경기도,
001007,안산시,020,Membership organizations repair and other personal services,2022,5924,10142,경기도,
001008,과천시,002,Agriculture forestry and fishing,2022,7,27,경기도,
001008,과천시,003,Mining ＆ quarrying,2022,0,0,경기도,
001008,과천시,004,Manufacturing,2022,141,461,경기도,IT장비/전산
001008,과천시,005,Electricity gas steam and water supply,2022,8,13,경기도,시설유지보수
001008,과천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,16,413,경기도,폐기물/환경
001008,과천시,007,Construction,2022,249,2730,경기도,건설/공사
001008,과천시,008,Wholesale and retail trade,2022,2098,5158,경기도,사무용품/소모품
001008,과천시,009,Transportation,2022,574,1020,경기도,차량/운송
001008,과천시,010,Accommodation and food service activities,2022,598,2435,경기도,
001008,과천시,011,Information and communications,2022,240,2209,경기도,IT장비/전산
001008,과천시,012,Financial and insurance activities,2022,49,586,경기도,
001008,과천시,013,Real estate activites and renting and leasing,2022,385,1062,경기도,
001008,과천시,014,Professional scientific and technical activities,2022,320,5516,경기도,전문용역/컨설팅
001008,과천시,015,Business facilities managementand business support services,2022,123,1386,경기도,시설유지보수
001008,과천시,016,Public administration ; compulsory social security,2022,32,5518,경기도,
001008,과천시,017,Education,2022,380,2276,경기도,교육물품/교구
001008,과천시,018,Human health and social work activities,2022,194,2163,경기도,의료/복지용품
001008,과천시,019,Arts sports and recreation related services,2022,458,5099,경기도,
001008,과천시,020,Membership organizations repair and other personal services,2022,346,1070,경기도,
001009,오산시,002,Agriculture forestry and fishing,2022,5,72,경기도,
001009,오산시,003,Mining ＆ quarrying,2022,0,0,경기도,
001009,오산시,004,Manufacturing,2022,1482,14718,경기도,IT장비/전산
001009,오산시,005,Electricity gas steam and water supply,2022,15,153,경기도,시설유지보수
001009,오산시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,64,651,경기도,폐기물/환경
001009,오산시,007,Construction,2022,1972,6318,경기도,건설/공사
001009,오산시,008,Wholesale and retail trade,2022,4713,10626,경기도,사무용품/소모품
001009,오산시,009,Transportation,2022,2505,4688,경기도,차량/운송
001009,오산시,010,Accommodation and food service activities,2022,2992,8324,경기도,
001009,오산시,011,Information and communications,2022,288,732,경기도,IT장비/전산
001009,오산시,012,Financial and insurance activities,2022,120,1019,경기도,
001009,오산시,013,Real estate activites and renting and leasing,2022,1017,2282,경기도,
001009,오산시,014,Professional scientific and technical activities,2022,534,2434,경기도,전문용역/컨설팅
001009,오산시,015,Business facilities managementand business support services,2022,706,6609,경기도,시설유지보수
001009,오산시,016,Public administration ; compulsory social security,2022,25,2098,경기도,
001009,오산시,017,Education,2022,1037,7112,경기도,교육물품/교구
001009,오산시,018,Human health and social work activities,2022,659,8192,경기도,의료/복지용품
001009,오산시,019,Arts sports and recreation related services,2022,583,1416,경기도,
001009,오산시,020,Membership organizations repair and other personal services,2022,1723,3128,경기도,
001010,시흥시,002,Agriculture forestry and fishing,2022,19,61,경기도,
001010,시흥시,003,Mining ＆ quarrying,2022,0,0,경기도,
001010,시흥시,004,Manufacturing,2022,17184,94181,경기도,IT장비/전산
001010,시흥시,005,Electricity gas steam and water supply,2022,64,219,경기도,시설유지보수
001010,시흥시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,184,1438,경기도,폐기물/환경
001010,시흥시,007,Construction,2022,4820,14775,경기도,건설/공사
001010,시흥시,008,Wholesale and retail trade,2022,17349,37701,경기도,사무용품/소모품
001010,시흥시,009,Transportation,2022,7881,12689,경기도,차량/운송
001010,시흥시,010,Accommodation and food service activities,2022,7672,18652,경기도,
001010,시흥시,011,Information and communications,2022,762,1701,경기도,IT장비/전산
001010,시흥시,012,Financial and insurance activities,2022,263,2042,경기도,
001010,시흥시,013,Real estate activites and renting and leasing,2022,2707,5374,경기도,
001010,시흥시,014,Professional scientific and technical activities,2022,1586,5084,경기도,전문용역/컨설팅
001010,시흥시,015,Business facilities managementand business support services,2022,1401,6259,경기도,시설유지보수
001010,시흥시,016,Public administration ; compulsory social security,2022,56,4340,경기도,
001010,시흥시,017,Education,2022,2512,13781,경기도,교육물품/교구
001010,시흥시,018,Human health and social work activities,2022,1503,18375,경기도,의료/복지용품
001010,시흥시,019,Arts sports and recreation related services,2022,1506,2845,경기도,
001010,시흥시,020,Membership organizations repair and other personal services,2022,4005,6474,경기도,
001011,군포시,002,Agriculture forestry and fishing,2022,7,18,경기도,
001011,군포시,003,Mining ＆ quarrying,2022,0,0,경기도,
001011,군포시,004,Manufacturing,2022,3982,30060,경기도,IT장비/전산
001011,군포시,005,Electricity gas steam and water supply,2022,10,131,경기도,시설유지보수
001011,군포시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,62,474,경기도,폐기물/환경
001011,군포시,007,Construction,2022,1780,6879,경기도,건설/공사
001011,군포시,008,Wholesale and retail trade,2022,6194,14611,경기도,사무용품/소모품
001011,군포시,009,Transportation,2022,4073,11559,경기도,차량/운송
001011,군포시,010,Accommodation and food service activities,2022,3150,8975,경기도,
