city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days
전라북도,남원시,전국 주요 지역,행사/운영용역,71,18502769618.0,260602388.98591548,2026-05-14 09:28:19,0.10324483775811209,0.0015289972983384532,0.9677419354838709,1.0,38.68,추천,12.9
전라북도,전라북도,전국 주요 지역,인쇄/홍보물,66,5093082555.0,77167917.5,2026-05-14 11:00:46,0.09587020648967552,0.0004208726383986319,0.9677419354838709,1.0,38.36,추천,8.4
제주특별자치도,제주시,전국 주요 지역,의료/복지용품,65,4999381360.0,76913559.38461539,2026-05-14 17:16:38,0.0943952802359882,0.00041312953415186503,0.9677419354838709,1.0,38.3,추천,8.1
전라북도,무주군,전국 주요 지역,폐기물/환경,86,29358280840.0,341375358.60465115,2026-05-13 10:17:40,0.12536873156342182,0.002426054748287661,0.9375,0.953,38.2,제외,6.8
경상북도,봉화군,전국 주요 지역,건설/공사,63,2853147801.0,45288060.333333336,2026-05-14 16:55:45,0.09144542772861357,0.0002357730961123454,0.9677419354838709,1.0,38.18,제외,3.3
전라북도,남원시,전국 주요 지역,건설/공사,107,19634719800.0,183502054.20560747,2026-05-07 21:30:55,0.15634218289085547,0.0016225372821281232,0.7894736842105263,1.0,38.14,제외,8.6
제주특별자치도,제주시,전국 주요 지역,교육물품/교구,108,28673850596.0,265498616.62962964,2026-05-06 17:07:56,0.15781710914454278,0.0023694960808242197,0.7692307692307692,1.0,37.91,추천,10.3
제주특별자치도,제주시,전국 주요 지역,경비/보안,58,8754698342.0,150943074.86206895,2026-05-14 15:36:00,0.084070796460177,0.0007234544011002524,0.9677419354838709,1.0,37.9,추천,6.6
전라북도,남원시,전국 주요 지역,전문용역/컨설팅,58,8887376000.0,153230620.68965518,2026-05-14 17:37:20,0.084070796460177,0.0007344183694585095,0.9677419354838709,1.0,37.9,추천,13.3
경상남도,경상남도,전국 주요 지역,차량/운송,75,11585555377.0,154474071.69333333,2026-05-11 14:39:16,0.10914454277286136,0.0009573854745481239,0.8823529411764706,1.0,37.63,추천,6.8
전라북도,군산시,전국 주요 지역,건설/공사,79,26558825796.0,336187668.3037975,2026-05-11 18:18:50,0.11504424778761062,0.0021947186138890624,0.8823529411764706,0.987,37.63,제외,11.7
