미매핑 학교명 전체 (5572개)
광양중동초등학교: 21건
광양중앙초등학교: 21건
성황초등학교: 21건
순천남초등학교: 21건
순천성동초등학교: 21건
순천율산초등학교: 21건
순천풍덕중학교: 21건
광양백운중학교: 21건
사천중학교: 21건
속초유치원: 21건
순천북유치원: 21건
전주서곡초등학교: 21건
여고초등학교: 20건
신촌초등학교: 20건
중현초등학교: 20건
정관초등학교: 20건
센텀초등학교: 20건
명신여자고등학교: 20건
여수중앙여자고등학교: 20건
금산초등학교: 20건
진영금병초등학교: 20건
녹산초등학교: 20건
전라남도교육청국제교육원: 20건
공군제7항공통신전대: 20건
가락고등학교: 20건
광성고등학교: 20건
문일고등학교: 20건
이화여자고등학교: 20건
잠실고등학교: 20건
진명여자고등학교: 20건
신진과학기술고등학교: 20건
잠실여자중학교: 20건
동북초등학교: 20건
개운중학교: 20건
신도중학교: 20건
하나고등학교: 20건
세연고등학교: 20건
해동고등학교: 20건
명덕초등학교: 20건
화랑초등학교: 20건
동양초등학교: 20건
몰운대초등학교: 20건
어룡초등학교: 20건
봉산초등학교: 20건
본촌초등학교: 20건
장덕고등학교: 20건
장덕중학교: 20건
동아마이스터고등학교: 20건
호수돈여자고등학교: 20건
신탄진용정초등학교: 20건
갈마중학교: 20건
낙생고등학교: 20건
불곡고등학교: 20건
태원고등학교: 20건
풍생고등학교: 20건
한광여자고등학교: 20건
발곡고등학교: 20건
사내고등학교: 20건
소야초등학교: 20건
한별고등학교: 20건
남원용성초등학교: 20건
전주남중학교: 20건
전주중앙중학교: 20건
전주북일초등학교: 20건
전주서원초등학교: 20건
군산명화학교: 20건
옥과초등학교: 20건
희양중학교: 20건
동광양중학교: 20건
옥룡초등학교: 20건
순천삼산중학교: 20건
순천승평중학교: 20건
순천도사초등학교: 20건
여도초등학교: 20건
홍농초등학교: 20건
대불초등학교: 20건
덕수학교: 20건
광양용강초등학교: 20건
광양칠성초등학교: 20건
여수충무고등학교: 20건
남악고등학교: 20건
순천풍덕초등학교: 20건
한일여자고등학교: 20건
동원고등학교: 20건
사천초등학교: 20건
웅천초등학교: 20건
초전초등학교: 20건
신대유치원: 20건
좌야초등학교: 20건
동탄중앙고등학교: 20건
순천비봉유치원: 20건
김해율하유치원: 20건
온천중학교: 19건
안남초등학교: 19건
부암초등학교: 19건
민락초등학교: 19건
운봉초등학교: 19건
청량중학교: 19건
국제고등학교: 19건
목포연동초등학교: 19건
안청초등학교: 19건
증산초등학교: 19건
전라남도교육청학생교육문화회관: 19건
일광초등학교: 19건
단국대학교사범대학부속고등학교: 19건
보성여자고등학교: 19건
선덕고등학교: 19건
영파여자고등학교: 19건
태릉고등학교: 19건
경원중학교: 19건
대명중학교: 19건
거원중학교: 19건
삼정중학교: 19건
문일중학교: 19건
선일여자중학교: 19건
이화여자대학교사범대학부속초등학교: 19건
광진중학교: 19건
경혜여자고등학교: 19건
사직고등학교: 19건
예문여자고등학교: 19건
주례여자고등학교: 19건
학산여자고등학교: 19건
안민초등학교: 19건
온천초등학교: 19건
가야초등학교: 19건
금곡초등학교: 19건
광안초등학교: 19건
교리초등학교: 19건
운암고등학교: 19건
상원중학교: 19건
성지중학교: 19건
신기중학교: 19건
설월여자고등학교: 19건
대자초등학교: 19건
용두초등학교: 19건
태봉초등학교: 19건
상일중학교: 19건
운남중학교: 19건
월봉초등학교: 19건
양지초등학교: 19건
수완중학교: 19건
오정중학교: 19건
학하초등학교: 19건
계원예술고등학교: 19건
분당대진고등학교: 19건
분당중앙고등학교: 19건
성남여자고등학교: 19건
수지고등학교: 19건
안산강서고등학교: 19건
은혜고등학교: 19건
주엽고등학교: 19건
화정고등학교: 19건
효성고등학교: 19건
경안중학교: 19건
늘푸른고등학교: 19건
도농고등학교: 19건
경포초등학교: 19건
송양초등학교: 19건
옥동초등학교: 19건
군산월명중학교: 19건
군산신풍초등학교: 19건
이서초등학교: 19건
수남초등학교: 19건
전주우전중학교: 19건
전주동북초등학교: 19건
전주동초등학교: 19건
백제고등학교: 19건
화순고등학교: 19건
광양중동중학교: 19건
광영중학교: 19건
광양덕례초등학교: 19건
광양동초등학교: 19건
광양서초등학교: 19건
순천팔마중학교: 19건
순천대석초등학교: 19건
순천부영초등학교: 19건
순천비봉초등학교: 19건
순천삼산초등학교: 19건
순천성남초등학교: 19건
순천연향초등학교: 19건
순천왕지초등학교: 19건
군서초등학교: 19건
성지여자고등학교: 19건
효암고등학교: 19건
김해분성여자고등학교: 19건
삼정자초등학교: 19건
한라초등학교: 19건
전주교육대학교전주부설초등학교: 19건
용소초등학교: 19건
초월고등학교: 19건
비전고등학교: 19건
동탄국제고등학교: 19건
순천왕운중학교: 19건
군산중앙유치원: 19건
김해수남고등학교: 19건
태전고등학교: 19건
해누리중학교: 19건
한국창의예술고등학교: 19건
광양햇살학교: 19건
진위고등학교: 19건
연서초등학교: 18건
화원고등학교: 18건
문지초등학교: 18건
진남유치원: 18건
명지가온유치원: 18건
경복고등학교: 18건
양천고등학교: 18건
우신고등학교: 18건
이화여자대학교사범대학부속이화금란고등학교: 18건
한서고등학교: 18건
광운인공지능고등학교: 18건
일신여자상업고등학교: 18건
대동세무고등학교: 18건
대왕중학교: 18건
영동중학교: 18건
신서중학교: 18건
동원중학교: 18건
월계중학교: 18건
삼선중학교: 18건
리라초등학교: 18건
수명고등학교: 18건
부경고등학교: 18건
화명고등학교: 18건
수성초등학교: 18건
장전초등학교: 18건
개림초등학교: 18건
연지초등학교: 18건
