school_name,candidates
동부초등학교,"동부초등학교(울산광역시교육청), 동부초등학교(경기도교육청), 동부초등학교(강원특별자치도교육청)"
성덕초등학교,"성덕초등학교(광주광역시교육청), 성덕초등학교(강원특별자치도교육청), 성덕초등학교(충청남도교육청), 성덕초등학교(전북특별자치도교육청)"
신림초등학교,"신림초등학교(강원특별자치도교육청), 신림초등학교(전북특별자치도교육청)"
낙동초등학교,"낙동초등학교(부산광역시교육청), 낙동초등학교(경상북도교육청)"
대방초등학교,"대방초등학교(경상남도교육청), 대방초등학교(경상남도교육청)"
용지초등학교,"용지초등학교(전북특별자치도교육청), 용지초등학교(경상남도교육청)"
동백초등학교,"동백초등학교(부산광역시교육청), 동백초등학교(울산광역시교육청), 동백초등학교(경기도교육청), 동백초등학교(전라남도교육청)"
대곡중학교,"대곡중학교(대구광역시교육청), 대곡중학교(경상남도교육청)"
서일고등학교,"서일고등학교(대전광역시교육청), 서일고등학교(충청남도교육청)"
초당초등학교,"초당초등학교(경기도교육청), 초당초등학교(강원특별자치도교육청)"
죽림초등학교,"죽림초등학교(충청북도교육청), 죽림초등학교(전라남도교육청), 죽림초등학교(경상남도교육청)"
신현중학교,"신현중학교(서울특별시교육청), 신현중학교(인천광역시교육청), 신현중학교(경기도교육청), 신현중학교(경상남도교육청)"
금빛초등학교,"금빛초등학교(부산광역시교육청), 금빛초등학교(경기도교육청), 금빛초등학교(경상남도교육청)"
신대초등학교,"신대초등학교(충청남도교육청), 신대초등학교(전라남도교육청)"
계성고등학교,"계성고등학교(서울특별시교육청), 계성고등학교(대구광역시교육청)"
문현고등학교,"문현고등학교(서울특별시교육청), 문현고등학교(울산광역시교육청)"
금성고등학교,"금성고등학교(부산광역시교육청), 금성고등학교(전라남도교육청), 금성고등학교(경상북도교육청)"
용산초등학교,"용산초등학교(부산광역시교육청), 용산초등학교(전북특별자치도교육청), 용산초등학교(전라남도교육청)"
양덕여자중학교,"양덕여자중학교(부산광역시교육청), 양덕여자중학교(경상남도교육청)"
감천초등학교,"감천초등학교(부산광역시교육청), 감천초등학교(경상북도교육청), 감천초등학교(경상북도교육청), 감천초등학교(경상남도교육청)"
장산초등학교,"장산초등학교(부산광역시교육청), 장산초등학교(광주광역시교육청), 장산초등학교(전라남도교육청), 장산초등학교(경상북도교육청)"
구암고등학교,"구암고등학교(서울특별시교육청), 구암고등학교(대구광역시교육청)"
백석고등학교,"백석고등학교(인천광역시교육청), 백석고등학교(경기도교육청)"
성덕중학교,"성덕중학교(광주광역시교육청), 성덕중학교(대전광역시교육청)"
성일중학교,"성일중학교(서울특별시교육청), 성일중학교(경기도교육청)"
신기초등학교,"신기초등학교(전라남도교육청), 신기초등학교(경상북도교육청), 신기초등학교(경상북도교육청), 신기초등학교(경상남도교육청)"
영천초등학교,"영천초등학교(광주광역시교육청), 영천초등학교(경기도교육청), 영천초등학교(경상북도교육청), 영천초등학교(경상남도교육청)"
동천초등학교,"동천초등학교(부산광역시교육청), 동천초등학교(울산광역시교육청), 동천초등학교(경기도교육청), 동천초등학교(경상북도교육청)"
백석중학교,"백석중학교(서울특별시교육청), 백석중학교(인천광역시교육청), 백석중학교(경기도교육청)"
진남초등학교,"진남초등학교(광주광역시교육청), 진남초등학교(경상남도교육청)"
경신고등학교,"경신고등학교(서울특별시교육청), 경신고등학교(대구광역시교육청)"
전일중학교,"전일중학교(서울특별시교육청), 전일중학교(전북특별자치도교육청)"
남산중학교,"남산중학교(부산광역시교육청), 남산중학교(경상북도교육청), 남산중학교(경상남도교육청)"
중리중학교,"중리중학교(대구광역시교육청), 중리중학교(대전광역시교육청)"
문산중학교,"문산중학교(광주광역시교육청), 문산중학교(경기도교육청), 문산중학교(경상남도교육청)"
대덕중학교,"대덕중학교(대전광역시교육청), 대덕중학교(전라남도교육청)"
월촌초등학교,"월촌초등학교(전북특별자치도교육청), 월촌초등학교(경상남도교육청)"
부안초등학교,"부안초등학교(강원특별자치도교육청), 부안초등학교(전북특별자치도교육청)"
용남초등학교,"용남초등학교(충청남도교육청), 용남초등학교(전북특별자치도교육청), 용남초등학교(경상남도교육청), 용남초등학교(경상남도교육청)"
명지초등학교,"명지초등학교(서울특별시교육청), 명지초등학교(부산광역시교육청), 명지초등학교(충청북도교육청), 명지초등학교(충청남도교육청)"
양덕초등학교,"양덕초등학교(부산광역시교육청), 양덕초등학교(경상남도교육청)"
호암초등학교,"호암초등학교(부산광역시교육청), 호암초등학교(경기도교육청), 호암초등학교(경상남도교육청)"
영일고등학교,"영일고등학교(서울특별시교육청), 영일고등학교(경상북도교육청)"
상현중학교,"상현중학교(서울특별시교육청), 상현중학교(경기도교육청)"
서연중학교,"서연중학교(서울특별시교육청), 서연중학교(경기도교육청)"
경일중학교,"경일중학교(서울특별시교육청), 경일중학교(부산광역시교육청), 경일중학교(대구광역시교육청)"
강동중학교,"강동중학교(서울특별시교육청), 강동중학교(대구광역시교육청), 강동중학교(울산광역시교육청)"
하남초등학교,"하남초등학교(부산광역시교육청), 하남초등학교(광주광역시교육청), 하남초등학교(경기도교육청), 하남초등학교(강원특별자치도교육청)"
광남초등학교,"광남초등학교(부산광역시교육청), 광남초등학교(경기도교육청)"
용문초등학교,"용문초등학교(부산광역시교육청), 용문초등학교(경기도교육청), 용문초등학교(충청남도교육청), 용문초등학교(경상북도교육청)"
신창중학교,"신창중학교(서울특별시교육청), 신창중학교(광주광역시교육청), 신창중학교(충청남도교육청), 신창중학교(제주특별자치도교육청)"
화천초등학교,"화천초등학교(강원특별자치도교육청), 화천초등학교(경상북도교육청)"
고창초등학교,"고창초등학교(경기도교육청), 고창초등학교(전북특별자치도교육청)"
흥덕초등학교,"흥덕초등학교(경기도교육청), 흥덕초등학교(충청북도교육청), 흥덕초등학교(전북특별자치도교육청)"
공덕초등학교,"공덕초등학교(부산광역시교육청), 공덕초등학교(전북특별자치도교육청)"
남원중학교,"남원중학교(전북특별자치도교육청), 남원중학교(제주특별자치도교육청)"
영흥중학교,"영흥중학교(인천광역시교육청), 영흥중학교(전라남도교육청)"
동성초등학교,"동성초등학교(부산광역시교육청), 동성초등학교(충청북도교육청), 동성초등학교(경상북도교육청), 동성초등학교(경상남도교육청)"
백산초등학교,"백산초등학교(부산광역시교육청), 백산초등학교(전북특별자치도교육청)"
예원초등학교,"예원초등학교(부산광역시교육청), 예원초등학교(경기도교육청)"
금호초등학교,"금호초등학교(광주광역시교육청), 금호초등학교(경상북도교육청), 금호초등학교(경상남도교육청)"
강북중학교,"강북중학교(서울특별시교육청), 강북중학교(대구광역시교육청)"
남산초등학교,"남산초등학교(부산광역시교육청), 남산초등학교(울산광역시교육청), 남산초등학교(강원특별자치도교육청), 남산초등학교(강원특별자치도교육청), 남산초등학교(강원특별자치도교육청)"
반송여자중학교,"반송여자중학교(부산광역시교육청), 반송여자중학교(경상남도교육청)"
신정고등학교,"신정고등학교(부산광역시교육청), 신정고등학교(울산광역시교육청)"
안산중학교,"안산중학교(경기도교육청), 안산중학교(전라남도교육청)"
은빛초등학교,"은빛초등학교(광주광역시교육청), 은빛초등학교(경기도교육청)"
율곡초등학교,"율곡초등학교(광주광역시교육청), 율곡초등학교(강원특별자치도교육청), 율곡초등학교(경상북도교육청)"
경서중학교,"경서중학교(서울특별시교육청), 경서중학교(대구광역시교육청)"
성남중학교,"성남중학교(서울특별시교육청), 성남중학교(경기도교육청)"
부흥중학교,"부흥중학교(부산광역시교육청), 부흥중학교(인천광역시교육청)"
신진초등학교,"신진초등학교(부산광역시교육청), 신진초등학교(경상남도교육청)"
신정중학교,"신정중학교(부산광역시교육청), 신정중학교(울산광역시교육청)"
성서중학교,"성서중학교(서울특별시교육청), 성서중학교(대구광역시교육청), 성서중학교(경기도교육청)"
경운중학교,"경운중학교(대구광역시교육청), 경운중학교(경상남도교육청)"
성산고등학교,"성산고등학교(대구광역시교육청), 성산고등학교(제주특별자치도교육청)"
강동고등학교,"강동고등학교(서울특별시교육청), 강동고등학교(대구광역시교육청), 강동고등학교(울산광역시교육청)"
문성중학교,"문성중학교(서울특별시교육청), 문성중학교(광주광역시교육청), 문성중학교(경상북도교육청)"
삼일고등학교,"삼일고등학교(경기도교육청), 삼일고등학교(강원특별자치도교육청)"
금오중학교,"금오중학교(경기도교육청), 금오중학교(경상북도교육청), 금오중학교(경상남도교육청)"
능동중학교,"능동중학교(경기도교육청), 능동중학교(경상남도교육청)"
설악고등학교,"설악고등학교(경기도교육청), 설악고등학교(강원특별자치도교육청)"
봉래초등학교,"봉래초등학교(부산광역시교육청), 봉래초등학교(강원특별자치도교육청), 봉래초등학교(전라남도교육청), 봉래초등학교(경상남도교육청)"
대야초등학교,"대야초등학교(경기도교육청), 대야초등학교(전북특별자치도교육청), 대야초등학교(경상남도교육청)"
금성중학교,"금성중학교(전북특별자치도교육청), 금성중학교(전라남도교육청), 금성중학교(경상북도교육청)"
남원초등학교,"남원초등학교(전북특별자치도교육청), 남원초등학교(제주특별자치도교육청)"
삼계초등학교,"삼계초등학교(전북특별자치도교육청), 삼계초등학교(경상남도교육청), 삼계초등학교(경상남도교육청)"
성산초등학교,"성산초등학교(경기도교육청), 성산초등학교(강원특별자치도교육청), 성산초등학교(전북특별자치도교육청), 성산초등학교(전라남도교육청), 성산초등학교(경상북도교육청), 성산초등학교(경상남도교육청)"
삼양초등학교,"삼양초등학교(충청북도교육청), 삼양초등학교(제주특별자치도교육청)"
신도고등학교,"신도고등학교(서울특별시교육청), 신도고등학교(부산광역시교육청)"
송운초등학교,"송운초등학교(부산광역시교육청), 송운초등학교(경기도교육청)"
중동초등학교,"중동초등학교(경기도교육청), 중동초등학교(전라남도교육청), 중동초등학교(경상북도교육청), 중동초등학교(경상남도교육청)"
모전초등학교,"모전초등학교(부산광역시교육청), 모전초등학교(경상북도교육청)"
혜화여자고등학교,"혜화여자고등학교(서울특별시교육청), 혜화여자고등학교(부산광역시교육청)"
광남중학교,"광남중학교(서울특별시교육청), 광남중학교(경기도교육청)"
동해중학교,"동해중학교(부산광역시교육청), 동해중학교(강원특별자치도교육청), 동해중학교(경상남도교육청)"
모산초등학교,"모산초등학교(부산광역시교육청), 모산초등학교(강원특별자치도교육청), 모산초등학교(충청남도교육청)"
와석초등학교,"와석초등학교(부산광역시교육청), 와석초등학교(경기도교육청)"
하남중학교,"하남중학교(부산광역시교육청), 하남중학교(광주광역시교육청), 하남중학교(경기도교육청)"
동백중학교,"동백중학교(부산광역시교육청), 동백중학교(경기도교육청)"
장산중학교,"장산중학교(부산광역시교육청), 장산중학교(전라남도교육청), 장산중학교(경상북도교육청)"
동암중학교,"동암중학교(인천광역시교육청), 동암중학교(경기도교육청)"
천곡중학교,"천곡중학교(광주광역시교육청), 천곡중학교(울산광역시교육청)"
구봉초등학교,"구봉초등학교(경기도교육청), 구봉초등학교(경상남도교육청)"
하랑중학교,"하랑중학교(경기도교육청), 하랑중학교(강원특별자치도교육청)"
속초초등학교,"속초초등학교(강원특별자치도교육청), 속초초등학교(강원특별자치도교육청)"
월랑초등학교,"월랑초등학교(충청남도교육청), 월랑초등학교(제주특별자치도교육청)"
남양초등학교,"남양초등학교(경기도교육청), 남양초등학교(충청남도교육청), 남양초등학교(전북특별자치도교육청), 남양초등학교(전라남도교육청), 남양초등학교(경상북도교육청), 남양초등학교(경상남도교육청), 남양초등학교(경상남도교육청)"
영신고등학교,"영신고등학교(서울특별시교육청), 영신고등학교(대구광역시교육청)"
신월중학교,"신월중학교(서울특별시교육청), 신월중학교(경상남도교육청)"
신평초등학교,"신평초등학교(부산광역시교육청), 신평초등학교(경기도교육청), 신평초등학교(강원특별자치도교육청), 신평초등학교(충청남도교육청), 신평초등학교(전북특별자치도교육청)"
대진고등학교,"대진고등학교(서울특별시교육청), 대진고등학교(대구광역시교육청), 대진고등학교(강원특별자치도교육청)"
운남초등학교,"운남초등학교(광주광역시교육청), 운남초등학교(전라남도교육청)"
상일여자고등학교,"상일여자고등학교(서울특별시교육청), 상일여자고등학교(광주광역시교육청)"
흥도초등학교,"흥도초등학교(대전광역시교육청), 흥도초등학교(경기도교육청)"
인창고등학교,"인창고등학교(서울특별시교육청), 인창고등학교(경기도교육청)"
관동중학교,"관동중학교(강원특별자치도교육청), 관동중학교(경상남도교육청)"
금광초등학교,"금광초등학교(경기도교육청), 금광초등학교(강원특별자치도교육청)"
여천초등학교,"여천초등학교(울산광역시교육청), 여천초등학교(전라남도교육청)"
삼호중학교,"삼호중학교(울산광역시교육청), 삼호중학교(전라남도교육청)"
정동초등학교,"정동초등학교(강원특별자치도교육청), 정동초등학교(경상남도교육청)"
현곡초등학교,"현곡초등학교(부산광역시교육청), 현곡초등학교(경상북도교육청)"
불로중학교,"불로중학교(대구광역시교육청), 불로중학교(인천광역시교육청)"
용마초등학교,"용마초등학교(경기도교육청), 용마초등학교(경상남도교육청)"
성덕고등학교,"성덕고등학교(서울특별시교육청), 성덕고등학교(광주광역시교육청)"
서운중학교,"서운중학교(서울특별시교육청), 서운중학교(인천광역시교육청), 서운중학교(경기도교육청)"
대방중학교,"대방중학교(서울특별시교육청), 대방중학교(경상남도교육청)"
광명고등학교,"광명고등학교(부산광역시교육청), 광명고등학교(경기도교육청)"
대평중학교,"대평중학교(대구광역시교육청), 대평중학교(경기도교육청)"
양산중학교,"양산중학교(광주광역시교육청), 양산중학교(경상남도교육청)"
호계중학교,"호계중학교(울산광역시교육청), 호계중학교(경기도교육청), 호계중학교(경상남도교육청)"
중부초등학교,"중부초등학교(경기도교육청), 중부초등학교(경상남도교육청)"
예당고등학교,"예당고등학교(경기도교육청), 예당고등학교(전라남도교육청)"
