district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
송파구,가족주거/대형상권/복합문화,IT장비/전산,7,4959294940.0,708470705.7142857,2024-12-22 14:47:05,0.05504587155963303,0.01398309308073062,0.05813953488372093,4.33,데이터부족,8.7,4
송파구,가족주거/대형상권/복합문화,건설/공사,7,1663450000.0,237635714.2857143,2024-12-16 20:27:50,0.05504587155963303,0.0046590517061028324,0.0574712643678161,4.04,제외,9.6,5
양천구,교육/주거/신도시,폐기물/환경,33,119639249040.0,3625431789.090909,2026-03-06 11:05:38,0.29357798165137616,0.33841602494942935,0.38961038961038963,32.62,제외,18.1,1
양천구,교육/주거/신도시,시설유지보수,26,23243415590.0,893977522.6923077,2026-04-16 10:42:59,0.22935779816513763,0.06570940319023666,0.8108108108108107,29.66,추천,16.5,2
양천구,교육/주거/신도시,청소/환경미화,7,1652467930.0,236066847.14285713,2026-04-06 16:03:28,0.05504587155963303,0.00462798311006049,0.6521739130434783,15.93,데이터부족,6.0,3
양천구,교육/주거/신도시,행사/운영용역,19,5116150200.0,269271063.15789473,2025-10-13 14:57:01,0.1651376146788991,0.014426841181958949,0.13574660633484165,11.4,추천,11.3,4
양천구,교육/주거/신도시,전문용역/컨설팅,3,1042631000.0,347543666.6666667,2026-03-17 10:48:03,0.01834862385321101,0.002902736664729846,0.44776119402985076,9.96,데이터부족,15.7,5
영등포구,오피스/금융/교통,폐기물/환경,16,12760739880.0,797546242.5,2026-04-16 16:00:32,0.13761467889908258,0.03605360814641832,0.8333333333333334,24.63,제외,6.8,1
영등포구,오피스/금융/교통,차량/운송,4,229226920.0,57306730.0,2026-04-16 07:52:02,0.027522935779816515,0.0006015928201984189,0.8108108108108107,17.61,데이터부족,9.0,2
영등포구,오피스/금융/교통,시설유지보수,25,21532418502.0,861296740.08,2025-10-29 10:54:05,0.22018348623853212,0.060868942570636124,0.14634146341463417,15.76,추천,13.3,3
영등포구,오피스/금융/교통,행사/운영용역,14,3591408000.0,256529142.85714287,2025-10-20 17:40:24,0.11926605504587157,0.010113301067890053,0.14018691588785046,9.07,추천,10.0,4
