district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,population,households,bids_per_10k_population,bids_per_10k_households,amount_per_10k_population,amount_per_10k_households
동작구,대학/주거/공원,행사/운영용역,28,3907049000.0,139537464.2857143,2026-04-16 16:38:38,0.24770642201834864,0.01100625865451999,0.8333333333333334,29.38,추천,14.2,380584,178302,0.7357,1.5704,102659307.8006,219125360.3437
강남구,업무지구/고소득/IT,전문용역/컨설팅,22,3313096000.0,150595272.72727272,2026-04-21 16:12:42,0.1926605504587156,0.009325948310009578,0.9677419354838709,29.27,추천,9.8,524942,236215,0.4191,0.9314,63113563.0222,140257646.6355
서초구,법조/교육/고소득,시설유지보수,18,22295967650.0,1238664869.4444444,2026-04-21 15:17:41,0.1559633027522936,0.06302904535979034,0.9677419354838709,29.04,추천,9.2,446718,203147,0.4029,0.8861,499106094.8966,1097528767.3458
용산구,외국인/관광/개발,시설유지보수,29,12651679000.0,436264793.1034483,2026-04-13 10:35:39,0.25688073394495414,0.035745071738915696,0.75,28.92,추천,17.7,225797,112084,1.2843,2.5873,560312094.492,1128767620.713
서대문구,대학/의료/주거,폐기물/환경,33,13997312001.0,424160969.72727275,2026-04-06 17:24:52,0.29357798165137616,0.03955190670985597,0.6521739130434783,28.91,제외,4.0,301916,146385,1.093,2.2543,463616105.1749,956198517.676
은평구,주거/문화/뉴타운,시설유지보수,17,56311322200.0,3312430717.647059,2026-04-13 14:22:40,0.14678899082568808,0.15925947457313602,0.7692307692307692,27.5,추천,10.6,469094,210543,0.3624,0.8074,1200427253.3863,2674575844.3643
동대문구,전통시장/패션/대학,폐기물/환경,27,61013195000.0,2259747962.962963,2026-03-24 09:17:16,0.23853211009174313,0.1725612097346928,0.5,27.1,제외,7.6,342289,165897,0.7888,1.6275,1782505280.6254,3677775668.035
강동구,주거/강변/문화,시설유지보수,16,8367610000.0,522975625.0,2026-04-21 15:31:38,0.13761467889908258,0.02362531570216468,0.9677419354838709,26.94,추천,14.1,461012,204387,0.3471,0.7828,181505253.6593,409400304.3246
용산구,외국인/관광/개발,폐기물/환경,21,98046363000.0,4668874428.571428,2026-03-18 17:57:05,0.1834862385321101,0.2773291211357497,0.46153846153846145,26.72,제외,7.2,225797,112084,0.93,1.8736,4342234972.121,8747578869.4194
강남구,업무지구/고소득/IT,청소/환경미화,21,108651845646.0,5173897411.714286,2026-03-11 09:19:11,0.1834862385321101,0.30733234058004827,0.410958904109589,26.61,추천,6.9,524942,236215,0.4,0.889,2069787626.9378,4599701358.7621
