district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days
종로구,공공기관/전통상권/관광,IT장비/전산,8,3030945340.0,378868167.5,2026-04-07 15:36:37,0.06422018348623854,0.00852773587113236,0.6666666666666666,16.8,데이터부족,13.2
강북구,주거/서민/교육,폐기물/환경,20,81036863840.0,4051843192.0,2024-12-18 18:29:58,0.1743119266055046,0.22920875236332303,0.057692307692307696,16.75,제외,8.1
성북구,대학/문화/주거,보험/금융,1,45003260.0,45003260.0,2026-04-16 11:13:28,0.0,8.041871786781536e-05,0.8333333333333334,16.67,데이터부족,5.0
강동구,주거/강변/문화,의료/복지용품,1,24816000.0,24816000.0,2026-04-17 08:53:28,0.0,2.330837108057588e-05,0.8333333333333334,16.67,데이터부족,11.0
용산구,외국인/관광/개발,기타/미분류,13,2486862800.0,191297138.46153846,2026-03-27 17:01:38,0.11009174311926606,0.006988510511163642,0.5357142857142857,16.43,제외,13.2
종로구,공공기관/전통상권/관광,건설/공사,3,179223000.0,59741000.0,2026-04-13 15:05:22,0.01834862385321101,0.00046013027342776356,0.7692307692307692,16.32,제외,6.3
강서구,공항/산업단지/주거,조경/녹지관리,6,652873720.0,108812286.66666667,2026-04-09 13:59:23,0.045871559633027525,0.0018001019622664507,0.6976744186046512,16.3,데이터부족,6.0
도봉구,주거/자연/교육,보험/금융,1,185000000.0,185000000.0,2026-04-16 10:32:12,0.0,0.0004764735747668201,0.8108108108108107,16.23,데이터부족,8.0
마포구,홍대/관광/문화콘텐츠,행사/운영용역,5,862404400.0,172480880.0,2026-04-10 14:57:55,0.03669724770642202,0.0023928703616116864,0.7142857142857143,16.19,데이터부족,10.0
양천구,교육/주거/신도시,청소/환경미화,7,1652467930.0,236066847.14285713,2026-04-06 16:03:28,0.05504587155963303,0.00462798311006049,0.6521739130434783,15.93,데이터부족,6.0
서초구,법조/교육/고소득,전문용역/컨설팅,5,1528497000.0,305699400.0,2026-04-09 16:18:42,0.03669724770642202,0.004277265736636033,0.6976744186046512,15.92,데이터부족,12.0
영등포구,오피스/금융/교통,시설유지보수,25,21532418502.0,861296740.08,2025-10-29 10:54:05,0.22018348623853212,0.060868942570636124,0.14634146341463417,15.76,추천,13.3
마포구,홍대/관광/문화콘텐츠,IT장비/전산,5,1640371120.0,328074224.0,2026-04-07 17:52:32,0.03669724770642202,0.00459376088207515,0.6666666666666666,15.31,데이터부족,14.8
서대문구,대학/의료/주거,사무용품/소모품,11,2060417000.0,187310636.36363637,2026-03-27 10:27:44,0.09174311926605505,0.00578208291653407,0.5263157894736842,15.29,추천,9.7
강서구,공항/산업단지/주거,전문용역/컨설팅,3,428173930.0,142724643.33333334,2026-04-10 17:15:53,0.01834862385321101,0.0011644197087105005,0.7142857142857143,15.24,데이터부족,21.7
중구,도심/관광/명동,차량/운송,5,424318000.0,84863600.0,2026-04-06 18:05:31,0.03669724770642202,0.0011535111703805181,0.6521739130434783,14.91,데이터부족,5.0
은평구,주거/문화/뉴타운,IT장비/전산,13,5088175720.0,391398132.3076923,2026-03-16 17:02:41,0.11009174311926606,0.01434770056287579,0.44776119402985076,14.89,추천,12.5
서대문구,대학/의료/주거,청소/환경미화,10,2451211920.0,245121192.0,2026-03-25 14:07:51,0.08256880733944955,0.006887653132793806,0.5172413793103449,14.68,추천,5.4
성북구,대학/문화/주거,행사/운영용역,4,1695661000.0,423915250.0,2026-04-06 15:37:41,0.027522935779816515,0.004750177563716187,0.6521739130434783,14.56,데이터부족,7.8
광진구,대학/강변/상업,건설/공사,6,8343595574.0,1390599262.3333333,2026-03-31 16:48:19,0.045871559633027525,0.02355737819124163,0.5769230769230769,14.54,제외,13.8
용산구,외국인/관광/개발,건설/공사,6,2688922240.0,448153706.6666667,2026-04-02 17:13:55,0.045871559633027525,0.007560142554840467,0.6000000000000001,14.52,제외,25.2
금천구,제조/산업단지/중소기업,기타/미분류,12,2373600000.0,197800000.0,2026-03-19 07:31:37,0.10091743119266056,0.0066680867495390456,0.46153846153846145,14.48,제외,15.0
성동구,성수/브랜드/라이프스타일,방역/소독,2,223952680.0,111976340.0,2026-04-09 10:41:16,0.009174311926605505,0.0005866718415495518,0.6818181818181818,14.11,데이터부족,5.5
