city,district,item_category,target_age_ratio,consumer_fit_score
강원특별자치도,철원군,차량/운송,0.42,0.4444
강원특별자치도,철원군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,철원군,경비/보안,0.42,0.4444
강원특별자치도,철원군,건설/공사,0.42,0.4444
강원특별자치도,철원군,급수/전기/설비,0.42,0.4444
강원특별자치도,철원군,보험/금융,0.42,0.4444
강원특별자치도,철원군,청소/환경미화,0.42,0.4444
강원특별자치도,철원군,IT장비/전산,0.365,0.2683
강원특별자치도,철원군,인쇄/홍보물,0.365,0.2683
강원특별자치도,철원군,행사/운영용역,0.365,0.2683
강원특별자치도,철원군,사무용품/소모품,0.365,0.2683
강원특별자치도,철원군,기타/미분류,0.365,0.2683
강원특별자치도,철원군,급식/식자재,0.367,0.1734
강원특별자치도,철원군,교육물품/교구,0.247,0.1552
강원특별자치도,춘천시,방역/소독,0.575,0.96
강원특별자치도,춘천시,폐기물/환경,0.455,0.9545
강원특별자치도,춘천시,조경/녹지관리,0.455,0.9545
강원특별자치도,춘천시,의료/복지용품,0.333,0.734
강원특별자치도,춘천시,시설유지보수,0.42,0.4444
강원특별자치도,춘천시,차량/운송,0.42,0.4444
강원특별자치도,춘천시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,춘천시,경비/보안,0.42,0.4444
강원특별자치도,춘천시,건설/공사,0.42,0.4444
강원특별자치도,춘천시,급수/전기/설비,0.42,0.4444
강원특별자치도,춘천시,보험/금융,0.42,0.4444
강원특별자치도,춘천시,청소/환경미화,0.42,0.4444
강원특별자치도,춘천시,IT장비/전산,0.365,0.2683
강원특별자치도,춘천시,인쇄/홍보물,0.365,0.2683
강원특별자치도,춘천시,행사/운영용역,0.365,0.2683
강원특별자치도,춘천시,사무용품/소모품,0.365,0.2683
강원특별자치도,춘천시,기타/미분류,0.365,0.2683
강원특별자치도,춘천시,급식/식자재,0.367,0.1734
강원특별자치도,춘천시,교육물품/교구,0.247,0.1552
강원특별자치도,태백시,방역/소독,0.575,0.96
강원특별자치도,태백시,폐기물/환경,0.455,0.9545
강원특별자치도,태백시,조경/녹지관리,0.455,0.9545
강원특별자치도,태백시,의료/복지용품,0.333,0.734
강원특별자치도,태백시,시설유지보수,0.42,0.4444
강원특별자치도,태백시,차량/운송,0.42,0.4444
강원특별자치도,태백시,전문용역/컨설팅,0.42,0.4444
강원특별자치도,태백시,경비/보안,0.42,0.4444
강원특별자치도,태백시,건설/공사,0.42,0.4444
강원특별자치도,태백시,급수/전기/설비,0.42,0.4444
강원특별자치도,태백시,보험/금융,0.42,0.4444
강원특별자치도,태백시,청소/환경미화,0.42,0.4444
강원특별자치도,태백시,IT장비/전산,0.365,0.2683
강원특별자치도,태백시,인쇄/홍보물,0.365,0.2683
강원특별자치도,태백시,행사/운영용역,0.365,0.2683
강원특별자치도,태백시,사무용품/소모품,0.365,0.2683
강원특별자치도,태백시,기타/미분류,0.365,0.2683
강원특별자치도,태백시,급식/식자재,0.367,0.1734
강원특별자치도,태백시,교육물품/교구,0.247,0.1552
강원특별자치도,평창군,방역/소독,0.575,0.96
강원특별자치도,평창군,폐기물/환경,0.455,0.9545
강원특별자치도,평창군,조경/녹지관리,0.455,0.9545
강원특별자치도,평창군,의료/복지용품,0.333,0.734
강원특별자치도,평창군,시설유지보수,0.42,0.4444
강원특별자치도,평창군,차량/운송,0.42,0.4444
강원특별자치도,평창군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,평창군,경비/보안,0.42,0.4444
강원특별자치도,평창군,건설/공사,0.42,0.4444
강원특별자치도,평창군,급수/전기/설비,0.42,0.4444
강원특별자치도,평창군,보험/금융,0.42,0.4444
강원특별자치도,평창군,청소/환경미화,0.42,0.4444
강원특별자치도,평창군,IT장비/전산,0.365,0.2683
강원특별자치도,평창군,인쇄/홍보물,0.365,0.2683
강원특별자치도,평창군,행사/운영용역,0.365,0.2683
강원특별자치도,평창군,사무용품/소모품,0.365,0.2683
강원특별자치도,평창군,기타/미분류,0.365,0.2683
강원특별자치도,평창군,급식/식자재,0.367,0.1734
강원특별자치도,평창군,교육물품/교구,0.247,0.1552
강원특별자치도,홍천군,방역/소독,0.575,0.96
강원특별자치도,홍천군,폐기물/환경,0.455,0.9545
강원특별자치도,홍천군,조경/녹지관리,0.455,0.9545
강원특별자치도,홍천군,의료/복지용품,0.333,0.734
강원특별자치도,홍천군,시설유지보수,0.42,0.4444
강원특별자치도,홍천군,차량/운송,0.42,0.4444
강원특별자치도,홍천군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,홍천군,경비/보안,0.42,0.4444
강원특별자치도,홍천군,건설/공사,0.42,0.4444
강원특별자치도,홍천군,급수/전기/설비,0.42,0.4444
강원특별자치도,홍천군,보험/금융,0.42,0.4444
강원특별자치도,홍천군,청소/환경미화,0.42,0.4444
강원특별자치도,홍천군,IT장비/전산,0.365,0.2683
강원특별자치도,홍천군,인쇄/홍보물,0.365,0.2683
강원특별자치도,홍천군,행사/운영용역,0.365,0.2683
강원특별자치도,홍천군,사무용품/소모품,0.365,0.2683
강원특별자치도,홍천군,기타/미분류,0.365,0.2683
강원특별자치도,홍천군,급식/식자재,0.367,0.1734
강원특별자치도,홍천군,교육물품/교구,0.247,0.1552
강원특별자치도,화천군,방역/소독,0.575,0.96
강원특별자치도,화천군,폐기물/환경,0.455,0.9545
강원특별자치도,화천군,조경/녹지관리,0.455,0.9545
강원특별자치도,화천군,의료/복지용품,0.333,0.734
강원특별자치도,화천군,시설유지보수,0.42,0.4444
강원특별자치도,화천군,차량/운송,0.42,0.4444
강원특별자치도,화천군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,화천군,경비/보안,0.42,0.4444
강원특별자치도,화천군,건설/공사,0.42,0.4444
강원특별자치도,화천군,급수/전기/설비,0.42,0.4444
강원특별자치도,화천군,보험/금융,0.42,0.4444
강원특별자치도,화천군,청소/환경미화,0.42,0.4444
강원특별자치도,화천군,IT장비/전산,0.365,0.2683
강원특별자치도,화천군,인쇄/홍보물,0.365,0.2683
강원특별자치도,화천군,행사/운영용역,0.365,0.2683
강원특별자치도,화천군,사무용품/소모품,0.365,0.2683
강원특별자치도,화천군,기타/미분류,0.365,0.2683
강원특별자치도,화천군,급식/식자재,0.367,0.1734
강원특별자치도,화천군,교육물품/교구,0.247,0.1552
강원특별자치도,횡성군,방역/소독,0.575,0.96
강원특별자치도,횡성군,폐기물/환경,0.455,0.9545
강원특별자치도,횡성군,조경/녹지관리,0.455,0.9545
강원특별자치도,횡성군,의료/복지용품,0.333,0.734
강원특별자치도,횡성군,시설유지보수,0.42,0.4444
강원특별자치도,횡성군,차량/운송,0.42,0.4444
강원특별자치도,횡성군,전문용역/컨설팅,0.42,0.4444
강원특별자치도,횡성군,경비/보안,0.42,0.4444
강원특별자치도,횡성군,건설/공사,0.42,0.4444
강원특별자치도,횡성군,급수/전기/설비,0.42,0.4444
강원특별자치도,횡성군,보험/금융,0.42,0.4444
강원특별자치도,횡성군,청소/환경미화,0.42,0.4444
강원특별자치도,횡성군,IT장비/전산,0.365,0.2683
강원특별자치도,횡성군,인쇄/홍보물,0.365,0.2683
강원특별자치도,횡성군,행사/운영용역,0.365,0.2683
강원특별자치도,횡성군,사무용품/소모품,0.365,0.2683
강원특별자치도,횡성군,기타/미분류,0.365,0.2683
강원특별자치도,횡성군,급식/식자재,0.367,0.1734
강원특별자치도,횡성군,교육물품/교구,0.247,0.1552
경기도,가평군,시설유지보수,0.455,0.9306
경기도,가평군,차량/운송,0.455,0.9306
경기도,가평군,전문용역/컨설팅,0.455,0.9306
경기도,가평군,경비/보안,0.455,0.9306
경기도,가평군,건설/공사,0.455,0.9306
경기도,가평군,급수/전기/설비,0.455,0.9306
경기도,가평군,보험/금융,0.455,0.9306
경기도,가평군,청소/환경미화,0.455,0.9306
경기도,가평군,IT장비/전산,0.442,0.8943
경기도,가평군,인쇄/홍보물,0.442,0.8943
경기도,가평군,행사/운영용역,0.442,0.8943
경기도,가평군,사무용품/소모품,0.442,0.8943
경기도,가평군,기타/미분류,0.442,0.8943
경기도,가평군,급식/식자재,0.47,0.7688
경기도,가평군,교육물품/교구,0.315,0.7414
경기도,가평군,방역/소독,0.565,0.56
경기도,가평군,폐기물/환경,0.41,0.2937
경기도,가평군,조경/녹지관리,0.41,0.2937
경기도,가평군,의료/복지용품,0.23,0.1862
경기도,고양시,시설유지보수,0.455,0.9306
경기도,고양시,차량/운송,0.455,0.9306
경기도,고양시,전문용역/컨설팅,0.455,0.9306
경기도,고양시,경비/보안,0.455,0.9306
경기도,고양시,건설/공사,0.455,0.9306
경기도,고양시,급수/전기/설비,0.455,0.9306
경기도,고양시,보험/금융,0.455,0.9306
경기도,고양시,청소/환경미화,0.455,0.9306
경기도,고양시,IT장비/전산,0.442,0.8943
경기도,고양시,인쇄/홍보물,0.442,0.8943
경기도,고양시,행사/운영용역,0.442,0.8943
경기도,고양시,사무용품/소모품,0.442,0.8943
경기도,고양시,기타/미분류,0.442,0.8943
경기도,고양시,급식/식자재,0.47,0.7688
경기도,고양시,교육물품/교구,0.315,0.7414
