city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
충청북도,옥천군,전국 주요 지역,기타/미분류,14,553289000.0,39520642.85714286,2026-05-12 14:38:58,0.0115761353517364,4.572166241411743e-05,0.9090909090909092,1.0,34.1,제외,2.9,2
충청북도,옥천군,전국 주요 지역,건설/공사,27,1343700000.0,49766666.66666666,2026-04-30 14:04:38,0.0231522707034728,0.0001110381695386,0.6666666666666666,1.0,30.93,제외,4.1,3
인천광역시,옹진군,전국 주요 지역,폐기물/환경,68,11402129710.0,167678378.0882353,2026-05-14 17:19:48,0.0596616206589492,0.0009422278870582,0.9677419354838708,1.0,36.93,제외,5.0,1
인천광역시,옹진군,전국 주요 지역,기타/미분류,43,37065656210.0,861992004.8837209,2026-05-12 18:08:59,0.0373998219056099,0.0030629624308297,0.9090909090909092,1.0,35.21,제외,6.8,2
인천광역시,옹진군,전국 주요 지역,시설유지보수,46,5845995270.0,127086853.69565216,2026-05-12 17:59:06,0.0400712377560106,0.0004830904323228,0.9090909090909092,0.978,34.81,추천,5.2,3
전라남도,완도군,전국 주요 지역,건설/공사,14,1806123000.0,129008785.71428572,2026-05-14 09:44:00,0.0191740412979351,0.000149251017252,0.9677419354838708,1.0,35.29,제외,2.9,1
전라남도,완도군,전국 주요 지역,청소/환경미화,1,265452000.0,265452000.0,2026-04-13 14:42:25,0.0,2.193592630822644e-05,0.4838709677419355,1.0,27.26,데이터부족,7.0,2
광주광역시,완도군,전국 주요 지역,행사/운영용역,1,145000000.0,145000000.0,2026-02-20 15:54:30,0.0,1.198223902887465e-05,0.2631578947368421,1.0,23.95,데이터부족,10.0,3
전라북도,완주군,전국 주요 지역,폐기물/환경,166,29429940002.0,177288795.19277108,2026-05-08 09:55:43,0.243362831858407,0.0024319763842027,0.8108108108108107,1.0,41.96,제외,5.8,1
전라북도,완주군,전국 주요 지역,건설/공사,101,43383348611.0,429538105.0594059,2026-05-15 13:45:20,0.1474926253687315,0.0035850320891724,1.0,0.99,40.79,제외,8.8,2
전라북도,완주군,전국 주요 지역,시설유지보수,85,48443964750.0,569928997.0588236,2026-05-14 11:25:23,0.1238938053097345,0.0040032218285577,0.9677419354838708,0.965,38.87,추천,6.8,3
대구광역시,용산구,외국인/관광/개발,급수/전기/설비,4,127575000.0,31893750.0,2026-05-12 14:46:55,0.0026714158504007,1.0542304442128852e-05,0.9090909090909092,1.0,33.74,데이터부족,5.0,1
서울특별시,용산구,외국인/관광/개발,시설유지보수,29,12651679000.0,436264793.1034483,2026-04-13 10:35:39,0.0249332146037399,0.0010454858061696,0.4838709677419355,1.0,28.28,추천,17.7,2
서울특별시,용산구,외국인/관광/개발,행사/운영용역,13,1906224800.0,146632676.92307693,2026-04-17 17:00:41,0.0106856634016028,0.0001575230427335,0.5172413793103449,1.0,28.19,추천,11.4,3
경기도,용인시,주거/산업/반도체,행사/운영용역,132,18321246860.0,138797324.6969697,2026-05-13 13:52:29,0.1166518254674977,0.0015139969598864,0.9375,1.0,38.77,추천,13.3,1
경기도,용인시,주거/산업/반도체,폐기물/환경,125,111126487360.0,889011898.88,2026-05-13 14:05:24,0.1104185218165627,0.0091830629930119,0.9375,1.0,38.71,제외,5.5,2
경기도,용인시,주거/산업/반도체,조경/녹지관리,34,3128030000.0,92000882.35294116,2026-05-12 16:45:26,0.0293855743544078,0.0002584882975826,0.9090909090909092,1.0,34.82,추천,5.1,3
부산광역시,울릉군,전국 주요 지역,폐기물/환경,18,3041044440.0,168946913.33333334,2026-05-13 13:02:54,0.0151380231522707,0.0002513001474311,0.9375,1.0,34.67,제외,5.1,1
경상북도,울릉군,전국 주요 지역,행사/운영용역,2,516000000.0,258000000.0,2025-06-24 16:36:30,0.0014749262536873,4.264024371654703e-05,0.0845070422535211,1.0,21.33,데이터부족,12.5,2
경상북도,울릉군,전국 주요 지역,건설/공사,1,48598000.0,48598000.0,2024-11-21 16:12:41,0.0,4.015950705691381e-06,0.0526315789473684,1.0,20.79,제외,5.0,3
울산광역시,울산광역시,전국 주요 지역,행사/운영용역,546,97912939520.0,179327728.05860806,2026-05-13 13:46:38,0.4853072128227961,0.008091146519644,0.9375,1.0,53.68,추천,12.1,1
울산광역시,울산광역시,전국 주요 지역,기타/미분류,460,296784900789.0,645184566.9326087,2026-05-14 11:34:12,0.4087266251113089,0.0245251560097561,0.9677419354838708,0.991,51.3,제외,10.5,2
울산광역시,울산광역시,전국 주요 지역,IT장비/전산,296,122184838386.0,412786616.1689189,2026-05-14 18:11:18,0.2626892252894033,0.0100968823396239,0.9677419354838708,1.0,45.28,추천,10.1,3
울산광역시,울주군,전국 주요 지역,폐기물/환경,202,67083128314.0,332094694.6237624,2026-05-08 13:57:19,0.1789848619768477,0.0055434901949173,0.8108108108108107,1.0,39.46,제외,5.0,1
울산광역시,울주군,전국 주요 지역,건설/공사,96,50678082577.0,527896693.5104167,2026-05-14 17:09:35,0.0845948352626892,0.0041878406825011,0.9677419354838708,0.948,36.96,제외,15.4,2
울산광역시,울주군,전국 주요 지역,시설유지보수,111,30773080200.0,277234956.7567568,2026-05-07 17:25:31,0.0979519145146927,0.0025429682938698,0.7894736842105263,0.964,35.1,추천,5.6,3
경상북도,울진군,전국 주요 지역,건설/공사,16,191123000.0,11945187.5,2026-04-27 10:24:48,0.0221238938053097,1.5793665309762827e-05,0.625,1.0,30.26,제외,0.4,1
경상북도,울진군,전국 주요 지역,교육물품/교구,6,387600000.0,64600000.0,2026-04-27 14:26:39,0.0073746312684365,3.2029764466150445e-05,0.625,1.0,29.67,데이터부족,11.3,2
경상북도,울진군,전국 주요 지역,IT장비/전산,2,24240000.0,12120000.0,2026-04-28 10:16:01,0.0014749262536873,2.003099821102907e-06,0.6382978723404256,1.0,29.63,데이터부족,0.0,3
강원특별자치도,원주시,전국 주요 지역,기타/미분류,142,22117753899.0,155758830.2746479,2026-05-15 10:17:04,0.1255565449688334,0.0018277256137906,1.0,0.986,39.79,제외,7.5,1
강원특별자치도,원주시,전국 주요 지역,시설유지보수,129,18421695680.0,142803842.48062015,2026-05-13 13:34:32,0.113980409617097,0.0015222976617582,0.9375,0.992,38.5,추천,5.0,2
강원특별자치도,원주시,전국 주요 지역,행사/운영용역,112,19296076557.0,172286397.83035713,2026-05-13 15:22:47,0.0988423864648263,0.0015945531146581,0.9375,1.0,38.06,추천,8.2,3
대전광역시,유성구,전국 주요 지역,행사/운영용역,55,12590514610.0,228918447.45454547,2026-05-11 15:43:22,0.0480854853072128,0.0010404314176107,0.8823529411764706,1.0,35.18,추천,12.8,1
대전광역시,유성구,전국 주요 지역,급수/전기/설비,20,2820570947.0,141028547.35,2026-05-14 11:27:18,0.0169189670525378,0.00023308107093,0.9677419354838708,0.9,33.2,추천,6.2,2
대전광역시,유성구,전국 주요 지역,시설유지보수,43,5306847220.0,123415051.62790698,2026-05-07 16:26:13,0.0373998219056099,0.0004385373233086,0.7894736842105263,0.977,32.89,추천,6.0,3
서울특별시,은평구,주거/문화/뉴타운,폐기물/환경,29,54224116800.0,1869797131.0344827,2026-04-21 15:08:24,0.0249332146037399,0.0044808712319118,0.5555555555555556,1.0,29.44,제외,6.2,1
서울특별시,은평구,주거/문화/뉴타운,시설유지보수,17,56311322200.0,3312430717.647059,2026-04-13 14:22:40,0.0142475512021371,0.0046533498112577,0.4838709677419355,1.0,27.94,추천,10.6,2
서울특별시,은평구,주거/문화/뉴타운,행사/운영용역,6,6149521000.0,1024920166.6666666,2026-04-16 16:00:17,0.0044523597506678,0.0005081726243798,0.5084745762711864,1.0,27.82,데이터부족,8.3,3
대전광역시,음성군,전국 주요 지역,조경/녹지관리,6,2304171900.0,384028650.0,2026-05-06 17:12:11,0.0044523597506678,0.0001904078515132,0.7692307692307692,1.0,31.72,데이터부족,5.3,1
대전광역시,음성군,전국 주요 지역,폐기물/환경,14,2633518000.0,188108428.57142857,2026-04-30 18:16:01,0.0115761353517364,0.000217623739054,0.6666666666666666,1.0,30.47,제외,5.3,2
충청북도,음성군,전국 주요 지역,IT장비/전산,2,13118000.0,6559000.0,2026-02-24 15:52:59,0.0008904719501335,1.0840207695226045e-06,0.2727272727272727,1.0,24.13,데이터부족,0.0,3
경상남도,의령군,전국 주요 지역,급수/전기/설비,9,68718000.0,7635333.333333333,2026-05-13 13:49:55,0.0117994100294985,5.678589666111781e-06,0.9375,1.0,34.53,데이터부족,0.0,1
경상남도,의령군,전국 주요 지역,시설유지보수,31,723305940.0,23332449.67741936,2026-04-28 14:01:29,0.0442477876106194,5.977120457989563e-05,0.6382978723404256,1.0,31.35,추천,0.5,2
