school_name,city
광양마동초등학교,전라남도
광양백운초등학교,전라남도
경복여자고등학교,서울특별시
관악고등학교,서울특별시
상문고등학교,서울특별시
수도여자고등학교,서울특별시
양재고등학교,서울특별시
동양고등학교,서울특별시
유한공업고등학교,서울특별시
방배중학교,서울특별시
수서중학교,서울특별시
예일초등학교,서울특별시
남성여자고등학교,부산광역시
산정초등학교,광주광역시
문정여자고등학교,광주광역시
고잔고등학교,경기도
송림고등학교,경기도
여강고등학교,경기도
분당영덕여자고등학교,경기도
풍생중학교,경기도
매홀중학교,경기도
성포고등학교,경기도
강릉제일고등학교,강원특별자치도
북평고등학교,강원특별자치도
속초고등학교,강원특별자치도
강릉해람중학교,강원특별자치도
노암초등학교,강원특별자치도
사내초등학교,강원특별자치도
강릉오성학교,강원특별자치도
속초청해학교,강원특별자치도
한국전통문화고등학교,전라북도
남원교룡초등학교,전라북도
남원월락초등학교,전라북도
순창중앙초등학교,전라북도
이리동산초등학교,전라북도
이리동초등학교,전라북도
이리마한초등학교,전라북도
이리서초등학교,전라북도
이리팔봉초등학교,전라북도
전주우아중학교,전라북도
전주기전중학교,전라북도
전주서중학교,전라북도
전주서문초등학교,전라북도
전주서일초등학교,전라북도
전주송북초등학교,전라북도
전주신성초등학교,전라북도
전주완산초등학교,전라북도
전주용덕초등학교,전라북도
전주전일초등학교,전라북도
전주초등학교,전라북도
전주평화초등학교,전라북도
전주서곡중학교,전라북도
군산진포초등학교,전라북도
군산동산중학교,전라북도
익산옥야초등학교,전라북도
목포중앙고등학교,전라남도
삼계부사관고등학교,전라남도
광양중마초등학교,전라남도
목포대연초등학교,전라남도
목포삼학초등학교,전라남도
목포상동초등학교,전라남도
목포청호초등학교,전라남도
순천금당중학교,전라남도
순천연향중학교,전라남도
순천조례초등학교,전라남도
영암초등학교,전라남도
대기고등학교,제주특별자치도
동패고등학교,경기도
저현고등학교,경기도
전주유화학교,전라북도
한울학교,전라북도
군산푸른솔초등학교,전라북도
오룡중학교,전라남도
전주홍산초등학교,전라북도
군산용문초등학교,전라북도
다선초등학교,부산광역시
숭덕고등학교,광주광역시
동국대학교사범대학부속가람고등학교,서울특별시
반포고등학교,서울특별시
영등포여자고등학교,서울특별시
혜원여자고등학교,서울특별시
북악중학교,서울특별시
양운고등학교,부산광역시
금호중앙여자고등학교,광주광역시
서강고등학교,광주광역시
안중고등학교,경기도
인제초등학교,강원특별자치도
회현초등학교,전라북도
전주덕일초등학교,전라북도
전주서천초등학교,전라북도
전주진북초등학교,전라북도
전주초포초등학교,전라북도
전주문학초등학교,전라북도
여수석유화학고등학교,전라남도
영암고등학교,전라남도
해룡고등학교,전라남도
광양마로초등학교,전라남도
목포부영초등학교,전라남도
목포산정초등학교,전라남도
목포연산초등학교,전라남도
순천남산중학교,전라남도
순천매산중학교,전라남도
순천신흥초등학교,전라남도
순천용당초등학교,전라남도
매안초등학교,전라남도
광양용강중학교,전라남도
빛누리초등학교,전라남도
전주화정중학교,전라북도
성일여자고등학교,부산광역시
장유고등학교,경상남도
김해모산초등학교,경상남도
배문고등학교,서울특별시
용화여자고등학교,서울특별시
미림마이스터고등학교,서울특별시
등명중학교,서울특별시
다대고등학교,부산광역시
덕문여자고등학교,부산광역시
해운대고등학교,부산광역시
월서중학교,대구광역시
인명여자고등학교,인천광역시
살레시오고등학교,광주광역시
문산수억고등학교,경기도
성보경영고등학교,경기도
동광고등학교,경기도
강릉문성고등학교,강원특별자치도
강릉여자고등학교,강원특별자치도
북평여자고등학교,강원특별자치도
군산경포초등학교,전라북도
이리동중학교,전라북도
전주남초등학교,전라북도
전주송원초등학교,전라북도
전주조촌초등학교,전라북도
고부초등학교,전라북도
고흥고등학교,전라남도
여수공업고등학교,전라남도
문향고등학교,전라남도
광양골약중학교,전라남도
광양가야초등학교,전라남도
광양중동초등학교,전라남도
광양중앙초등학교,전라남도
성황초등학교,전라남도
순천남초등학교,전라남도
순천성동초등학교,전라남도
순천율산초등학교,전라남도
순천풍덕중학교,전라남도
광양백운중학교,전라남도
전주서곡초등학교,전라북도
여고초등학교,부산광역시
중현초등학교,부산광역시
정관초등학교,부산광역시
센텀초등학교,부산광역시
명신여자고등학교,인천광역시
여수중앙여자고등학교,전라남도
진영금병초등학교,경상남도
녹산초등학교,부산광역시
가락고등학교,서울특별시
문일고등학교,서울특별시
이화여자고등학교,서울특별시
잠실고등학교,서울특별시
진명여자고등학교,서울특별시
신진과학기술고등학교,서울특별시
잠실여자중학교,서울특별시
하나고등학교,서울특별시
세연고등학교,부산광역시
해동고등학교,부산광역시
몰운대초등학교,부산광역시
본촌초등학교,광주광역시
장덕고등학교,광주광역시
장덕중학교,광주광역시
동아마이스터고등학교,대전광역시
호수돈여자고등학교,대전광역시
신탄진용정초등학교,대전광역시
갈마중학교,대전광역시
낙생고등학교,경기도
불곡고등학교,경기도
태원고등학교,경기도
풍생고등학교,경기도
한광여자고등학교,경기도
발곡고등학교,경기도
사내고등학교,강원특별자치도
소야초등학교,강원특별자치도
한별고등학교,전라북도
남원용성초등학교,전라북도
전주남중학교,전라북도
전주중앙중학교,전라북도
전주북일초등학교,전라북도
전주서원초등학교,전라북도
군산명화학교,전라북도
옥과초등학교,전라남도
희양중학교,전라남도
동광양중학교,전라남도
옥룡초등학교,전라남도
순천삼산중학교,전라남도
순천승평중학교,전라남도
순천도사초등학교,전라남도
여도초등학교,전라남도
홍농초등학교,전라남도
대불초등학교,전라남도
덕수학교,전라남도
광양용강초등학교,전라남도
광양칠성초등학교,전라남도
여수충무고등학교,전라남도
남악고등학교,전라남도
순천풍덕초등학교,전라남도
한일여자고등학교,경상남도
동원고등학교,경상남도
좌야초등학교,전라남도
동탄중앙고등학교,경기도
온천중학교,부산광역시
부암초등학교,부산광역시
국제고등학교,광주광역시
목포연동초등학교,전라남도
안청초등학교,경상남도
일광초등학교,부산광역시
단국대학교사범대학부속고등학교,서울특별시
보성여자고등학교,서울특별시
선덕고등학교,서울특별시
영파여자고등학교,서울특별시
태릉고등학교,서울특별시
거원중학교,서울특별시
문일중학교,서울특별시
선일여자중학교,서울특별시
이화여자대학교사범대학부속초등학교,서울특별시
광진중학교,서울특별시
경혜여자고등학교,부산광역시
사직고등학교,부산광역시
예문여자고등학교,부산광역시
주례여자고등학교,부산광역시
학산여자고등학교,부산광역시
광안초등학교,부산광역시
교리초등학교,부산광역시
설월여자고등학교,광주광역시
대자초등학교,광주광역시
수완중학교,광주광역시
오정중학교,대전광역시
학하초등학교,대전광역시
계원예술고등학교,경기도
분당대진고등학교,경기도
분당중앙고등학교,경기도
성남여자고등학교,경기도
수지고등학교,경기도
안산강서고등학교,경기도
은혜고등학교,경기도
주엽고등학교,경기도
화정고등학교,경기도
효성고등학교,경기도
늘푸른고등학교,경기도
도농고등학교,경기도
경포초등학교,강원특별자치도
군산월명중학교,전라북도
군산신풍초등학교,전라북도
전주우전중학교,전라북도
전주동북초등학교,전라북도
전주동초등학교,전라북도
백제고등학교,전라남도
화순고등학교,전라남도
광양중동중학교,전라남도
광영중학교,전라남도
광양덕례초등학교,전라남도
광양동초등학교,전라남도
광양서초등학교,전라남도
순천팔마중학교,전라남도
순천대석초등학교,전라남도
순천부영초등학교,전라남도
순천비봉초등학교,전라남도
순천삼산초등학교,전라남도
순천성남초등학교,전라남도
순천연향초등학교,전라남도
순천왕지초등학교,전라남도
성지여자고등학교,경상남도
효암고등학교,경상남도
김해분성여자고등학교,경상남도
삼정자초등학교,경상남도
한라초등학교,제주특별자치도
전주교육대학교전주부설초등학교,전라북도
용소초등학교,부산광역시
초월고등학교,경기도
동탄국제고등학교,경기도
순천왕운중학교,전라남도
김해수남고등학교,경상남도
태전고등학교,경기도
해누리중학교,서울특별시
한국창의예술고등학교,전라남도
광양햇살학교,전라남도
진위고등학교,경기도
문지초등학교,대전광역시
경복고등학교,서울특별시
양천고등학교,서울특별시
이화여자대학교사범대학부속이화금란고등학교,서울특별시
한서고등학교,서울특별시
광운인공지능고등학교,서울특별시
일신여자상업고등학교,서울특별시
대동세무고등학교,서울특별시
대왕중학교,서울특별시
신서중학교,서울특별시
삼선중학교,서울특별시
리라초등학교,서울특별시
수명고등학교,서울특별시
부경고등학교,부산광역시
화명고등학교,부산광역시
개림초등학교,부산광역시
연지초등학교,부산광역시
부흥초등학교,부산광역시
신재초등학교,부산광역시
해강중학교,부산광역시
해강고등학교,부산광역시
센텀중학교,부산광역시
센텀고등학교,부산광역시
명호중학교,부산광역시
달구벌고등학교,대구광역시
대광여자고등학교,광주광역시
송원여자고등학교,광주광역시
조선대학교부속고등학교,광주광역시
조선대학교여자고등학교,광주광역시
신가중학교,광주광역시
명석고등학교,대전광역시
유성생명과학고등학교,대전광역시
덕송초등학교,대전광역시
김포고등학교,경기도
백신고등학교,경기도
서현고등학교,경기도
안산국제비즈니스고등학교,경기도
야탑고등학교,경기도
이매고등학교,경기도
호원고등학교,경기도
효양고등학교,경기도
청심국제고등학교,경기도
상원고등학교,경기도
효자고등학교,경기도
동탄고등학교,경기도
보평고등학교,경기도
운중고등학교,경기도
정선고등학교,강원특별자치도
금산고등학교,충청남도
군산풍문초등학교,전라북도
군산흥남초등학교,전라북도
순창중학교,전라북도
전주신흥중학교,전라북도
전주효문중학교,전라북도
담양공업고등학교,전라남도
여수고등학교,전라남도
진성여자고등학교,전라남도
곡성중앙초등학교,전라남도
순천동산중학교,전라남도
순천신흥중학교,전라남도
순천봉화초등학교,전라남도
순천북초등학교,전라남도
순천왕조초등학교,전라남도
순천이수초등학교,전라남도
순천중앙초등학교,전라남도
팔마초등학교,전라남도
영광중앙초등학교,전라남도
영광초등학교,전라남도
삼호중앙초등학교,전라남도
순천선혜학교,전라남도
순천향림초등학교,전라남도
순천향림중학교,전라남도
순천왕의중학교,전라남도
삼현여자고등학교,경상남도
창원대암고등학교,경상남도
신용초등학교,광주광역시
빛여울초등학교,광주광역시
상현고등학교,경기도
빛가람초등학교,전라남도
광양마동중학교,전라남도
명원초등학교,부산광역시
연제고등학교,부산광역시
광양북초등학교,전라남도
괴정초등학교,부산광역시
반안초등학교,부산광역시
학사초등학교,부산광역시
부영여자고등학교,전라남도
분성초등학교,경상남도
진해냉천초등학교,경상남도
마산고운초등학교,경상남도
당곡고등학교,서울특별시
서문여자고등학교,서울특별시
동천고등학교,부산광역시
달북초등학교,부산광역시
미남초등학교,부산광역시
남문초등학교,부산광역시
좌산초등학교,부산광역시
해송초등학교,부산광역시
안진초등학교,부산광역시
경상중학교,대구광역시
경혜여자중학교,대구광역시
가정고등학교,인천광역시
송도고등학교,인천광역시
문성고등학교,광주광역시
살레시오여자고등학교,광주광역시
정광고등학교,광주광역시
주월초등학교,광주광역시
풍암고등학교,광주광역시
만호초등학교,광주광역시
하백초등학교,광주광역시
산정중학교,광주광역시
계남고등학교,경기도
무원고등학교,경기도
문산고등학교,경기도
양서고등학교,경기도
이천양정여자고등학교,경기도
남원용성고등학교,전라북도
교암초등학교,전라북도
여수여자고등학교,전라남도
보성남초등학교,전라남도
여수문수초등학교,전라남도
함평초등학교,전라남도
화순중학교,전라남도
곡성고등학교,전라남도
경산여자중학교,경상북도
김해여자고등학교,경상남도
진양고등학교,경상남도
진해중앙고등학교,경상남도
창원대산고등학교,경상남도
창원문성고등학교,경상남도
진영장등중학교,경상남도
김해삼성초등학교,경상남도
동진중학교,경상남도
풍호초등학교,경상남도
김해삼문고등학교,경상남도
대운초등학교,경상남도
물금고등학교,경상남도
김해대곡초등학교,경상남도
중문중학교,제주특별자치도
선운초등학교,광주광역시
빛고을고등학교,광주광역시
운정고등학교,경기도
진해냉천중학교,경상남도
갈전초등학교,경상남도
빛가람중학교,전라남도
여수웅천중학교,전라남도
새별초등학교,광주광역시
용이중학교,경기도
화순제일초등학교,전라남도
신금초등학교,부산광역시
학진초등학교,부산광역시
다대초등학교,부산광역시
명진초등학교,부산광역시
두실초등학교,부산광역시
송수초등학교,부산광역시
송원고등학교,광주광역시
여수진남중학교,전라남도
여수한려초등학교,전라남도
안동진명학교,경상북도
교방초등학교,경상남도
진동초등학교,경상남도
김해율산초등학교,경상남도
경성고등학교,서울특별시
금옥여자고등학교,서울특별시
대일고등학교,서울특별시
성보고등학교,서울특별시
송곡고등학교,서울특별시
영락고등학교,서울특별시
장승중학교,서울특별시
구현고등학교,서울특별시
대덕여자고등학교,부산광역시
한국조형예술고등학교,부산광역시
개성고등학교,부산광역시
성모여자고등학교,부산광역시
해운대여자고등학교,부산광역시
분포초등학교,부산광역시
구서여자중학교,부산광역시
구서초등학교,부산광역시
동현초등학교,부산광역시
혜화초등학교,부산광역시
과정초등학교,부산광역시
양정초등학교,부산광역시
대천리중학교,부산광역시
화잠초등학교,부산광역시
반여고등학교,부산광역시
대륜고등학교,대구광역시
와룡중학교,대구광역시
동문고등학교,대구광역시
매천중학교,대구광역시
율원중학교,대구광역시
대성여자고등학교,광주광역시
상무고등학교,광주광역시
금호중앙중학교,광주광역시
운남고등학교,광주광역시
불로초등학교,광주광역시
고실초등학교,광주광역시
수완고등학교,광주광역시
장덕초등학교,광주광역시
수완초등학교,광주광역시
용두중학교,광주광역시
신탄진고등학교,대전광역시
의정부광동고등학교,경기도
소명여자고등학교,경기도
수원고등학교,경기도
양명고등학교,경기도
유신고등학교,경기도
창현고등학교,경기도
단대초등학교,경기도
송내고등학교,경기도
매탄고등학교,경기도
속초중학교,강원특별자치도
한계초등학교,강원특별자치도
금산여자고등학교,충청남도
김제서고등학교,전라북도
고창남초등학교,전라북도
새솔중학교,전라북도
여수정보과학고등학교,전라남도
완도고등학교,전라남도
완도수산고등학교,전라남도
함평학다리고등학교,전라남도
고흥여자중학교,전라남도
여수문수중학교,전라남도
여수중학교,전라남도
염산초등학교,전라남도
완도중앙초등학교,전라남도
화순오성초등학교,전라남도
소림학교,전라남도
은광학교,전라남도
김해생명과학고등학교,경상남도
마산공업고등학교,경상남도
마산무학여자고등학교,경상남도
마산제일여자고등학교,경상남도
보광고등학교,경상남도
산청고등학교,경상남도
양산제일고등학교,경상남도
진해세화여자고등학교,경상남도
임호중학교,경상남도
김해가야초등학교,경상남도
어방초등학교,경상남도
